occurrenceID	institutionCode	collectionCode	catalogNumber	combined	SamplingDate	recordedBy	Sex	Department	Municipality	Locality	MinElevation	MaxElevation	decimalLatitude	decimalLongitude	Habitat	Order	Family	Species	SnoutVentLength	HeadWidth	MouthWidth	ForearmLength	TibiaLength	FemurLength	FootLength	FootWebbing
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3551	UV	UV-C	11258	UV-C-11258	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	23.94	9.64	9.12	5.8	12.97	11.74	11.79	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3552	UV	UV-C	11259	UV-C-11259	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	26.87	9.55	9.87	5.53	14.21	13.58	14.09	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3553	UV	UV-C	11263	UV-C-11263	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	25.81	9.52	8.77	6.06	13.16	12.11	12.93	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3554	UV	UV-C	11371	UV-C-11371	1994-02-26	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Dendrobatidae	Colostethus agilis 	30.29	9.48	8.64	6.22	12.92	13.88	12.46	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3555	UV	UV-C	11393	UV-C-11393	1994-04-09	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2540	2540	NA	NA	Paramo; Wetland	Anura	Hylidae	Hyloscirtus larinopygion	55.66	19.09	19.81	12.15	27.87	25.29	23.42	Extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3556	UV	UV-C	11394	UV-C-11394	1994-04-09	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2540	2540	NA	NA	Paramo; Wetland	Anura	Hylidae	Hyloscirtus larinopygion	58.86	17.93	19.56	12.97	28.12	26.71	26.15	Extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3557	UV	UV-C	11410	UV-C-11410	1994-04-08	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	24.6	7.87	8.56	5.79	14.17	13.24	11.16	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3558	UV	UV-C	11412	UV-C-11412	1994-04-08	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	26.74	9.94	9.28	5.75	14.5	10.62	11.74	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3559	UV	UV-C	11413	UV-C-11413	1994-04-08	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	31.84	11.72	11.18	8.51	17.54	16.06	14.73	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3560	UV	UV-C	11415	UV-C-11415	1994-04-08	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	28.89	9.88	10.31	6.69	16.35	14.02	13.02	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3561	UV	UV-C	11416	UV-C-11416	1994-04-08	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	27.18	8.79	9.35	6.41	14.62	12.41	11.77	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3562	UV	UV-C	11417	UV-C-11417	1994-04-08	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	24.09	8.9	9.29	5.65	12.75	12.88	11.64	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3563	UV	UV-C	11419	UV-C-11419	1994-04-08	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	26.46	10.39	9.99	6.72	14.27	11.57	11.6	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3564	UV	UV-C	11421	UV-C-11421	1994-04-08	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	31.89	11.74	12.45	8.67	17.29	15.64	14.49	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3565	UV	UV-C	11423	UV-C-11423	1994-04-08	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	24.72	9.1	9.31	6.84	14.05	13.65	11.72	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3566	UV	UV-C	11424	UV-C-11424	1994-04-29	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	21.18	9.27	7.89	5.87	13.12	12.77	10.71	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3567	UV	UV-C	11427	UV-C-11427	1994-04-29	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	24.06	7.82	8.29	5.99	13.12	13.27	11.71	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3568	UV	UV-C	11429	UV-C-11429	1994-04-29	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	31.48	11.08	10.81	7.13	17.6	16.56	14.26	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3569	UV	UV-C	11430	UV-C-11430	1994-04-29	Oscar Hernandez	NA	Valle Del Cauca	Cali	Parque Farallones de Cali, alto pance, corea	2500	2500	NA	NA	Andean Forest	Anura	Craugastoridae	Pristimantis acatallelus	27.9	12.61	11.3	7.66	17.33	17.63	15.79	Absent
